,LICENSENO,ISSDTTM,EXPDTTM,LICSTATUS,LICENSECAT,DESCRIPT,RESULT,RESULTDTTM,SUM_VIOLATIONS,SCORE,GRADE
2,18086,2011-12-27 12:46:00,2011-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-01-03 10:06:00,6,94,A
3,77035,2012-01-26 11:01:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_FailExt,2012-01-03 10:07:00,12,88,B
6,76109,2012-07-19 12:58:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-03 10:44:00,16,84,B
8,25877,2012-01-03 14:09:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-03 10:47:00,32,68,C
11,21466,2012-02-06 13:35:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-03 10:53:00,8,92,B
12,23261,2012-01-11 13:58:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-03 11:05:00,14,86,B
13,22999,2012-01-25 13:35:00,2012-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-03 11:15:00,48,52,C
14,20767,2011-12-29 12:34:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-03 11:17:00,26,74,C
16,26632,2012-02-06 15:00:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-03 11:22:00,10,90,B
17,75776,2011-12-08 11:27:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-03 11:23:00,20,80,C
18,19095,2011-12-13 13:30:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-03 11:39:00,10,90,B
21,74930,2012-02-22 11:02:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-03 11:46:00,12,88,B
23,21177,2011-12-07 09:45:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2012-01-03 11:59:00,2,98,A
24,24233,2011-12-30 10:03:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-03 12:08:00,40,60,C
25,26062,2012-02-06 14:29:00,2017-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-03 12:08:00,34,66,C
26,25399,2012-01-06 11:11:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-03 12:17:00,16,84,B
27,31976,2012-01-03 08:11:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-03 12:31:00,4,96,A
29,75246,2012-01-10 13:15:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-03 12:35:00,43,57,C
30,24526,2011-12-09 13:14:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2012-01-03 12:59:00,21,79,C
31,21393,2011-12-28 13:04:00,2012-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2012-01-03 13:04:00,40,60,C
32,74953,2011-12-14 11:16:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2012-01-03 13:12:00,12,88,B
